rank,docid,score,qid,label,query
56,8138536,32.44,104861,1,cost of interior concrete flooring
62,8546162,32.24,104861,2,cost of interior concrete flooring
219,8546160,27.6,104861,2,cost of interior concrete flooring
93,8546159,31.08,104861,2,cost of interior concrete flooring
165,8546158,28.48,104861,2,cost of interior concrete flooring
7,8495099,38.09,104861,2,cost of interior concrete flooring
-1,8349574,-1.0,104861,2,cost of interior concrete flooring
114,1046334,30.46,104861,2,cost of interior concrete flooring
215,1046339,27.68,104861,2,cost of interior concrete flooring
148,1058524,29.09,104861,2,cost of interior concrete flooring
241,146169,27.36,104861,2,cost of interior concrete flooring
119,146170,30.31,104861,2,cost of interior concrete flooring
159,146171,28.64,104861,2,cost of interior concrete flooring
154,146172,28.9,104861,2,cost of interior concrete flooring
138,146173,29.29,104861,1,cost of interior concrete flooring
188,146174,28.13,104861,2,cost of interior concrete flooring
318,146175,26.44,104861,1,cost of interior concrete flooring
582,146176,24.51,104861,2,cost of interior concrete flooring
-1,146177,-1.0,104861,1,cost of interior concrete flooring
153,1567102,28.93,104861,2,cost of interior concrete flooring
209,1567107,27.77,104861,1,cost of interior concrete flooring
121,1424216,29.94,104861,2,cost of interior concrete flooring
60,1773805,32.26,104861,2,cost of interior concrete flooring
-1,1357961,-1.0,104861,2,cost of interior concrete flooring
-1,1357957,-1.0,104861,2,cost of interior concrete flooring
-1,120437,-1.0,104861,2,cost of interior concrete flooring
-1,1275721,-1.0,104861,1,cost of interior concrete flooring
14,1304632,36.32,104861,2,cost of interior concrete flooring
106,1313687,30.63,104861,2,cost of interior concrete flooring
-1,1357955,-1.0,104861,2,cost of interior concrete flooring
-1,1357956,-1.0,104861,2,cost of interior concrete flooring
18,1811410,35.52,104861,2,cost of interior concrete flooring
22,7204477,34.8,104861,2,cost of interior concrete flooring
-1,8748173,-1.0,104861,2,cost of interior concrete flooring
-1,5766337,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5657603,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5519516,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5452779,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5442718,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5442711,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5442713,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5424172,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5423931,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5423930,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5416787,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5412858,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5360361,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5360360,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5442715,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,584334,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6347205,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6347200,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6347199,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6341347,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6331481,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6331478,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6232574,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,621544,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,621539,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6127389,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6127385,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6127382,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5956106,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5956102,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5956099,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5360356,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5766345,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5311940,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5287968,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4718161,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4718159,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4712119,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4712113,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4681094,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4802035,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4681092,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4594377,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4594376,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,45592,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4559130,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4559128,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4559127,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,45591,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4541453,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4594382,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5311939,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4802036,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6347206,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5204904,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5166434,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5138680,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5138673,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5120823,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5115490,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5006973,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,5006969,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4914009,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4834974,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,5115489,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6347207,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6465909,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,819284,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,819283,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8183810,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8170640,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8170638,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8170637,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8194910,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7959124,-1.0,1063750,1,why did the us volunterilay enter ww1
47,7952971,20.14,1063750,2,why did the us volunterilay enter ww1
-1,7952969,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7952967,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7952966,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7952965,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7952964,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7882525,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8239876,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8239877,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,973371,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8821739,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8821738,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8821736,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8821735,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8821734,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8722081,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8697948,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8669866,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8658918,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8658915,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8658912,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8640242,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,8384979,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8384975,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,8384973,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7862344,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7862343,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7857767,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7146777,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7146776,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7146775,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7122842,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7122836,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6987647,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7146780,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,684828,-1.0,1063750,2,why did the us volunterilay enter ww1
20,6666451,22.35,1063750,1,why did the us volunterilay enter ww1
-1,6666444,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6599404,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6572591,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6572590,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,6465912,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6465910,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4487118,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,6673653,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7146781,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7146782,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7837938,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7837936,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7791761,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7791760,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7778354,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7742956,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,759813,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7571428,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7571424,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7571423,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,7247268,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,7247264,-1.0,1063750,1,why did the us volunterilay enter ww1
872,7247263,10.68,1063750,1,why did the us volunterilay enter ww1
-1,7247262,-1.0,1063750,3,why did the us volunterilay enter ww1
-1,4487115,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1048074,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4337532,-1.0,1063750,3,why did the us volunterilay enter ww1
-1,2496764,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2479413,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2470328,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2402110,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2399257,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2399255,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2391460,-1.0,1063750,1,why did the us volunterilay enter ww1
53,2391457,19.91,1063750,1,why did the us volunterilay enter ww1
-1,2391456,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2391455,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2243178,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2230095,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2230090,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2230089,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2220585,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4341365,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2784784,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2784782,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2768426,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2768123,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2768120,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2768117,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2728077,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2728076,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2728074,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2679612,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2653693,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2578724,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2569817,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2569816,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2569813,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2551914,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2951510,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2091261,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1248663,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,12266,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,12264,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,12261,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,12260,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,12258,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1191945,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1191942,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1124058,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1124053,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1098177,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,1098172,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1086043,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1086039,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,1074552,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1423677,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1523265,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,2075189,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1923506,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1923499,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1922590,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,1922586,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1866486,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1866485,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1866482,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1697238,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,16693,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1585089,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1580961,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1523266,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,1523261,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2975474,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,2496767,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3802488,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3802487,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3802485,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3802479,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3676185,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3676183,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3672921,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3654236,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3654235,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3654234,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3654233,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3610446,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3610445,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3610444,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3610442,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3871549,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3610440,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4337529,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4337528,-1.0,1063750,2,why did the us volunterilay enter ww1
2,4337527,29.56,1063750,2,why did the us volunterilay enter ww1
8,4337526,25.24,1063750,2,why did the us volunterilay enter ww1
-1,4310512,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4310511,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4193159,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4158206,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4158204,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4100037,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4080384,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,4066863,-1.0,1063750,3,why did the us volunterilay enter ww1
-1,3973423,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3973418,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3965096,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3516677,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3259889,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3259887,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3259884,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3192421,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3192413,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3192369,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3134994,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3134992,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3134988,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3132980,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3132972,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3098299,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3095450,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,309315,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,309313,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,309311,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3078272,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3078268,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3259890,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3259891,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,4834969,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3268883,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3259892,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3503271,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3484002,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3484001,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3394537,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3394536,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3376183,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3376182,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3327052,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3327049,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3327047,-1.0,1063750,1,why did the us volunterilay enter ww1
-1,3327045,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,330165,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,330159,-1.0,1063750,2,why did the us volunterilay enter ww1
-1,3334065,-1.0,1063750,1,why did the us volunterilay enter ww1
0,8220086,36.17,1103812,1,who formed the commonwealth of independent states
7,8220085,31.87,1103812,3,who formed the commonwealth of independent states
78,8220081,25.61,1103812,2,who formed the commonwealth of independent states
-1,8049013,-1.0,1103812,2,who formed the commonwealth of independent states
88,8220087,25.26,1103812,1,who formed the commonwealth of independent states
165,8157968,23.86,1103812,1,who formed the commonwealth of independent states
37,8220088,26.92,1103812,1,who formed the commonwealth of independent states
24,8224183,29.04,1103812,1,who formed the commonwealth of independent states
20,8293805,29.26,1103812,1,who formed the commonwealth of independent states
656,7753287,19.7,1103812,2,who formed the commonwealth of independent states
2,8220089,34.76,1103812,3,who formed the commonwealth of independent states
930,5581839,18.74,1103812,1,who formed the commonwealth of independent states
626,5581840,19.8,1103812,1,who formed the commonwealth of independent states
28,6289840,28.6,1103812,1,who formed the commonwealth of independent states
162,3843270,23.86,1103812,2,who formed the commonwealth of independent states
55,2750961,26.07,1103812,1,who formed the commonwealth of independent states
-1,2750960,-1.0,1103812,1,who formed the commonwealth of independent states
29,2332189,28.37,1103812,1,who formed the commonwealth of independent states
25,2945096,28.92,1103812,1,who formed the commonwealth of independent states
1,3843267,35.76,1103812,3,who formed the commonwealth of independent states
5,3843263,32.49,1103812,1,who formed the commonwealth of independent states
275,3773618,22.34,1103812,2,who formed the commonwealth of independent states
76,3708772,25.61,1103812,1,who formed the commonwealth of independent states
452,2165733,20.74,1103812,1,who formed the commonwealth of independent states
13,1659852,29.83,1103812,2,who formed the commonwealth of independent states
